,Country,Elect_tech,Grid_status,2008 Gen Est,2009 Gen Est,2010 Gen Est,2011 Gen Est,2012 Gen Est,2013 Gen Est,2014 Gen Est,2015 Gen Est,2016 Gen Est,2017 Gen Est,2018 Gen Est,2019 Gen Est
455,Haiti,Off-grid Solar photovoltaic,Off-grid,,,0.441,0.881,1.02,1.241,1.341,1.542,1.759,1.857,2.064,2.207
456,Haiti,On-grid Solar photovoltaic,On-grid,,,,0.045,0.694,0.941,1.087,1.314,1.314,1.679,2.044,2.044
457,Haiti,Renewable hydropower,On-grid,181.0,207.0,177.0,121.0,221.0,141.0,90.0,83.0,71.0,71.0,98.247,98.247
458,Honduras,Fossil fuels,On-grid,4051.2,3750.3,3552.9,4149.1,4329.8,4804.5,5292.839,5295.169,5186.136,4632.575,4400.668,5746.446
459,Honduras,Off-grid Solar photovoltaic,Off-grid,4.459,4.656,5.001,5.669,6.655,7.122,7.122,7.122,7.122,5.555,3.987,2.812
460,Honduras,Onshore wind energy,On-grid,,,,116.7,338.3,310.2,398.306,664.645,582.882,578.087,928.705,818.29
461,Honduras,Renewable hydropower,On-grid,2291.1,2796.6,3080.3,2814.9,2786.5,2739.2,2614.542,2360.265,2246.157,2970.612,3137.754,2420.957
462,Honduras,Solid biofuels,On-grid,443.6,399.9,375.8,329.2,363.0,350.9,644.238,1062.726,1479.91,1586.115,1385.517,1753.68
463,Hungary,Biogas,On-grid,69.0,96.0,118.0,213.0,211.0,267.0,287.0,293.0,333.0,348.0,336.0,318.0
464,Hungary,Fossil fuels,On-grid,22736.0,17470.0,18438.0,17491.0,16078.0,12003.0,10430.0,11093.0,12300.0,13021.0,12179.0,12820.0
465,Hungary,Nuclear,On-grid,14818.0,15426.0,15761.0,15685.0,15793.0,15370.0,15649.0,15834.0,16054.0,16098.0,15733.0,16288.0
466,Hungary,On-grid Solar photovoltaic,On-grid,0.55,0.65,0.85,1.444,7.908,24.62,67.0,141.0,244.0,349.0,629.0,1497.0
467,Hungary,Onshore wind energy,On-grid,204.828,330.93,533.792,625.693,769.992,717.51,656.54,693.323,683.692,758.0,607.0,729.0
468,Hungary,Other non-renewable energy,On-grid,114.0,117.0,152.0,135.0,118.0,133.0,173.0,204.0,290.0,284.0,360.0,359.0
469,Hungary,Renewable hydropower,On-grid,212.951,228.285,188.384,222.03,212.939,213.125,301.477,233.711,259.315,220.0,222.0,219.0
470,Hungary,Renewable municipal waste,On-grid,109.0,113.0,145.0,119.0,111.0,136.0,137.0,208.0,245.0,160.0,162.0,137.0
471,Hungary,Solid biofuels,On-grid,1760.0,2126.0,2034.0,1527.0,1333.0,1429.0,1702.0,1660.0,1493.0,1646.0,1799.0,1769.0
472,Iceland,Fossil fuels,On-grid,2.0,2.0,2.0,2.0,3.0,5.0,3.0,4.0,3.0,2.085,1.875,2.662
473,Iceland,Geothermal energy,On-grid,4037.656,4553.087,4465.322,4701.463,5209.543,5245.021,5238.414,5003.002,5067.28,5169.599,6009.834,6018.138
474,Iceland,Renewable hydropower,On-grid,12427.434,12279.343,12592.081,12506.84,12336.529,12862.843,12873.016,13780.77,13469.596,14058.722,13813.688,13461.466
475,India,Biogas,Off-grid,,,,1.523,2.826,5.949,7.446,10.089,11.685,13.403,16.031,16.031
476,India,Biogas,On-grid,1.345,1.345,1.345,4.518,6.894,7.118,8.322,12.045,12.045,15.418,15.418,15.418
477,India,Concentrated solar power,On-grid,,,,3.942,5.519,84.359,360.299,360.299,360.299,360.299,360.299,360.299
478,India,Fossil fuels,On-grid,659296.18,701866.798,755351.918,798877.092,856777.875,911698.487,963556.93,1055205.256,1122707.115,1175977.125,1231223.292,1274509.5
479,India,Nuclear,On-grid,16449.5,15854.36,20543.93,27771.44,32431.448,33206.53,34696.228,36429.56,37539.182,38023.432,38212.84,39977.75
480,India,Off-grid Solar photovoltaic,Off-grid,34.564,40.813,45.038,110.477,202.118,363.929,514.793,656.254,861.112,1175.696,1483.148,1526.01
481,India,On-grid Solar photovoltaic,On-grid,2.862,5.228,20.044,194.9,767.24,1236.21,2224.608,4962.944,8960.792,16592.325,29220.352,41983.925
482,India,Onshore wind energy,On-grid,11835.131,14595.036,16104.034,19528.142,23069.18,24639.953,27235.366,31872.871,36273.128,47669.778,55008.662,62688.878
483,India,Other non-renewable energy,On-grid,81.255,88.578,112.844,148.028,185.676,237.049,274.769,320.119,290.404,301.249,416.903,523.26
484,India,Pumped storage,On-grid,4949.4,4949.4,4949.4,4949.4,4949.4,4949.4,4949.4,4949.4,4949.4,4949.4,4949.4,4949.4
485,India,Renewable hydropower,Off-grid,207.251,203.043,204.523,230.931,245.053,234.292,258.567,241.889,231.427,224.612,230.873,251.897
486,India,Renewable hydropower,On-grid,117180.942,108531.883,106971.473,119492.789,127899.509,120769.705,135606.24,130320.542,124979.865,126177.162,131461.998,144325.72
487,India,Renewable municipal waste,On-grid,81.255,88.578,112.844,148.028,185.676,237.049,274.769,320.119,290.404,301.249,416.903,523.26
488,India,Solid biofuels,Off-grid,516.072,596.895,843.98,1114.208,1607.36,1864.569,2467.98,2198.668,2219.287,2315.256,3337.5,3806.75
489,India,Solid biofuels,On-grid,9787.141,10657.232,16133.232,16504.581,22369.65,26801.961,30877.07,26675.154,16037.99,14416.637,15505.43,15665.055
490,Indonesia,Biogas,On-grid,2.786,2.786,8.042,23.81,23.81,23.81,26.963,120.152,126.564,127.773,106.04,126.0
491,Indonesia,Fossil fuels,On-grid,129543.7,136052.3,142873.5,161406.8,177825.7,189663.5,203108.1,209705.2,217969.6,222606.9,235365.0,247128.0
492,Indonesia,Geothermal energy,On-grid,8309.0,9295.0,9357.0,9371.0,9417.0,9414.0,10038.0,10048.0,10656.0,12764.0,14019.0,14100.0
493,Indonesia,Off-grid Solar photovoltaic,Off-grid,19.103,27.006,28.926,31.816,44.889,59.008,65.582,83.658,83.857,86.476,71.0,64.0
494,Indonesia,On-grid Solar photovoltaic,On-grid,0.1,0.1,0.52,0.77,3.01,5.5,6.81,5.28,21.09,28.84,20.0,54.0
495,Indonesia,Onshore wind energy,On-grid,0.3,3.7,3.63,4.7,4.6,0.662,1.177,3.7,5.7,5.7,5.7,5.7
496,Indonesia,Other non-renewable energy,On-grid,,,,15.45,15.45,20.4,17.75,9.7,2.95,295.0,311.0,10.5
497,Indonesia,Renewable hydropower,Off-grid,17.659,19.633,33.403,27.581,29.494,37.724,37.008,37.429,49.204,48.766,4809.0,4615.0
498,Indonesia,Renewable hydropower,On-grid,11528.0,11384.0,17456.0,12419.0,12799.0,16923.0,15162.0,13741.0,18677.0,18632.0,16828.0,16546.0
499,Indonesia,Renewable municipal waste,On-grid,,,,15.45,15.45,20.4,17.75,9.7,2.95,295.0,311.0,10.5
500,Indonesia,Solid biofuels,Off-grid,6448.0,6051.0,7718.921,8467.807,8629.336,8969.366,8953.172,9266.04,9527.247,10856.337,11325.0,11329.0
501,Indonesia,Solid biofuels,On-grid,52.214,60.214,86.958,162.19,214.19,120.19,178.037,340.848,457.436,219.0,219.0,219.0
502,Iran (Islamic Republic of),Biogas,On-grid,,1.698,10.184,21.954,22.558,19.289,46.635,16.339,21.781,24.44,24.44,10.686
503,Iran (Islamic Republic of),Fossil fuels,On-grid,209331.0,213883.0,223259.0,227428.0,239752.0,242909.0,255869.0,263392.0,265775.0,284987.0,285256.0,230787.0
504,Iran (Islamic Republic of),Nuclear,On-grid,,,,358.951,1857.878,4600.247,4546.362,2949.709,6710.568,7513.664,7329.0,7329.0
505,Iran (Islamic Republic of),Off-grid Solar photovoltaic,Off-grid,0.134,0.241,0.603,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635
506,Iran (Islamic Republic of),On-grid Solar photovoltaic,On-grid,0.066,0.066,0.07,0.069,0.086,0.068,0.041,0.856,4.346,85.17,221.181,509.838
507,Iran (Islamic Republic of),Onshore wind energy,On-grid,195.751,226.176,208.865,213.521,204.252,211.274,197.72,242.227,264.292,306.258,585.379,634.121
508,Iran (Islamic Republic of),Renewable hydropower,On-grid,4753.0,7207.0,9523.0,12058.0,12447.0,14470.0,13862.0,14087.0,16419.0,15051.012,15765.098,15047.1
509,Iraq,Fossil fuels,On-grid,33295.0,42837.0,44142.0,50100.0,41626.0,53665.0,64837.0,66122.467,76659.0,81714.0,80312.0,82621.609
510,Iraq,Renewable hydropower,Off-grid,,2.348,2.348,2.348,2.348,2.348,2.348,2.348,2.348,2.348,2.348,2.348
511,Iraq,Renewable hydropower,On-grid,3485.0,3227.0,4766.0,4140.0,4392.15,4756.787,2930.797,2546.137,3371.234,2176.083,1817.702,4963.264
512,Ireland,Biogas,On-grid,183.941,195.0,204.699,199.768,197.1,184.561,203.629,204.791,207.967,203.093,184.092,185.304
513,Ireland,Fossil fuels,On-grid,26320.393,23849.36,24447.612,21740.434,21837.246,19882.622,19346.258,20166.978,22634.766,21630.669,20395.776,18621.438
514,Ireland,Off-grid Solar photovoltaic,Off-grid,,0.424,0.476,0.542,0.646,0.699,2.457,3.408,6.16,10.801,16.656,21.316
515,Ireland,Offshore wind energy,On-grid,80.0,80.0,80.0,82.0,68.0,78.0,81.0,81.0,81.0,81.0,81.0,81.0
516,Ireland,Onshore wind energy,On-grid,2330.013,2875.217,2734.659,4298.315,3942.478,4463.514,5059.061,6491.998,6066.043,7363.037,8558.767,9938.485
517,Ireland,Pumped storage,On-grid,331.268,355.269,176.862,0.001,211.772,344.728,279.077,288.108,291.945,203.463,237.569,245.319
518,Ireland,Renewable hydropower,On-grid,968.323,901.734,599.231,706.687,802.349,599.497,708.654,806.49,681.025,691.603,694.09,886.584
519,Ireland,Solid biofuels,On-grid,33.07,65.223,109.717,136.282,179.011,226.939,264.912,196.712,395.477,381.409,334.093,346.322
520,Israel,Biogas,On-grid,13.832,24.557,45.084,45.084,45.084,71.084,89.557,162.682,162.682,162.682,162.682,81.296
521,Israel,Concentrated solar power,On-grid,11.1,11.285,11.285,11.285,11.285,11.285,11.285,11.285,11.285,11.285,11.285,447.7
522,Israel,Fossil fuels,On-grid,56757.0,54683.0,58450.0,59371.0,62595.0,60794.0,60373.8,63013.0,65551.5,65888.5,67242.0,69096.004
523,Israel,On-grid Solar photovoltaic,On-grid,5.1,41.65,118.83,322.49,402.39,494.1,840.4,1160.2,1525.3,1510.6,1573.8,2597.0
524,Israel,Onshore wind energy,On-grid,9.0,9.0,8.0,7.0,6.0,6.0,5.9,6.7,6.7,,,302.0
525,Israel,Renewable municipal waste,On-grid,,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,
526,Italy,Biogas,On-grid,1600.0,1665.0,2055.0,3405.0,4620.0,7448.0,8198.0,8212.0,8259.0,8299.124,8299.564,8276.821
527,Italy,Concentrated solar power,On-grid,,,9.475,9.475,9.475,9.475,12.475,12.475,12.475,12.475,12.475,12.475
528,Italy,Fossil fuels,On-grid,252749.0,216705.0,218886.0,214572.0,202058.0,172850.0,154324.0,169632.0,176682.0,186972.158,170522.346,173092.918
529,Italy,Geothermal energy,On-grid,5520.315,5341.822,5375.916,5654.263,5591.685,5659.228,5916.333,6184.971,6288.573,6201.159,6105.39,6074.86
530,Italy,Liquid biofuels,On-grid,64.0,1448.0,3078.0,2698.0,3122.0,3759.0,4342.0,4894.0,4710.0,4463.578,4290.708,4676.932
531,Italy,On-grid Solar photovoltaic,On-grid,192.965,676.481,1905.661,10795.723,18861.732,21588.622,22306.365,22942.192,22104.259,24377.711,22653.838,23688.9
532,Italy,Onshore wind energy,On-grid,4861.317,6542.859,9125.918,9856.375,13407.127,14896.962,15178.31,14843.882,17688.67,17741.909,17716.434,20202.042
533,Italy,Other non-renewable energy,On-grid,2615.0,2375.0,2922.0,3113.0,3017.0,3047.0,3113.0,3024.0,3238.0,3134.235,3055.086,3078.389
534,Italy,Pumped storage,On-grid,5603.578,4305.196,3289.899,1934.197,1979.108,1898.2,1710.902,1432.144,1825.204,1825.96,1716.337,1834.983
535,Italy,Renewable hydropower,On-grid,41622.96,49137.482,51116.764,45822.721,41874.893,52773.395,58545.441,45537.324,42431.756,36198.71,48786.414,46318.533
536,Italy,Renewable municipal waste,On-grid,1556.0,1616.0,2047.0,2208.0,2163.0,2207.0,2371.0,2344.0,2415.0,2383.631,2370.926,2368.727
537,Italy,Solid biofuels,On-grid,2746.0,2827.0,2261.0,2523.0,2582.0,3679.0,3823.0,3947.0,4125.0,4231.835,4191.39,4240.103
538,Jamaica,Fossil fuels,On-grid,3925.78,4015.34,3932.472,3893.462,3877.753,3901.544,3856.652,3954.372,3958.503,4206.324,4176.348,4269.627
539,Jamaica,On-grid Solar photovoltaic,On-grid,1.0,1.2,1.7,2.5,3.0,3.5,6.9,10.591,13.0,44.0,46.0,90.0
540,Jamaica,Onshore wind energy,On-grid,49.215,58.565,53.162,91.228,107.466,115.369,119.0,125.0,207.176,255.222,301.95,272.01
541,Jamaica,Renewable hydropower,On-grid,158.205,140.118,151.665,152.157,150.695,124.345,135.955,128.951,118.706,154.243,179.154,155.212
542,Jamaica,Solid biofuels,On-grid,28.396,22.941,20.17,27.939,27.505,30.207,32.668,29.966,23.5,24.45,12.787,122.738
543,Japan,Biogas,On-grid,,2.0,24.0,41.0,60.0,91.0,131.0,166.0,188.0,134.0,251.0,290.0
544,Japan,Fossil fuels,On-grid,722976.0,680158.0,740334.0,862467.0,941854.0,943447.0,912158.0,868912.0,858195.0,835126.0,784137.0,750826.0
545,Japan,Geothermal energy,On-grid,2750.0,2886.0,2632.0,2676.0,2609.0,2603.0,2620.0,2595.0,2501.0,2457.0,2524.0,2830.0
546,Japan,Nuclear,On-grid,258128.0,279750.0,288230.0,101761.0,15939.0,9303.0,,9437.0,18060.0,32912.0,64929.0,63779.0
547,Japan,Offshore wind energy,On-grid,19.6,19.6,44.1,44.1,44.275,86.975,86.975,92.75,105.0,105.0,105.0,105.0
548,Japan,On-grid Solar photovoltaic,On-grid,2206.0,2657.0,3543.0,4839.0,6613.0,12880.0,22952.0,34802.0,45761.0,55068.0,62668.0,68953.0
549,Japan,Onshore wind energy,On-grid,2922.4,3593.4,3972.9,4632.9,4793.725,5100.025,5130.025,5487.25,6061.0,6385.0,7376.0,7568.0
550,Japan,Other non-renewable energy,On-grid,22310.0,25177.0,28994.0,29879.0,30336.0,31424.0,30717.0,30058.0,36911.0,37600.0,36880.0,36451.0
551,Japan,Pumped storage,On-grid,6332.0,5266.0,6881.0,6791.0,7116.0,5495.0,3410.0,4152.0,6181.0,7308.0,7379.0,7660.0
552,Japan,Renewable hydropower,On-grid,77172.0,78566.0,83801.0,84918.0,76529.0,79391.0,83532.0,87118.0,79484.0,83752.0,80969.0,79595.0
553,Japan,Renewable municipal waste,On-grid,,,2812.0,2996.0,2986.0,3086.0,3096.0,3123.0,1828.0,1695.0,1811.0,1907.0
554,Japan,Solid biofuels,On-grid,13453.0,12411.0,9632.0,9690.0,10029.0,11242.0,12150.0,12714.0,15595.0,18432.0,19435.0,25011.0
555,Jordan,Biogas,On-grid,9.0,7.0,9.0,8.0,6.0,6.0,6.0,6.4,4.1,4.1,3.4,3.5
556,Jordan,Fossil fuels,On-grid,13763.9,14678.1,14704.0,14580.9,16526.0,17198.2,18202.0,18777.016,18772.0,19375.3,18315.2,17995.3
557,Jordan,Off-grid Solar photovoltaic,Off-grid,,,,0.049,0.102,0.222,0.389,0.954,0.973,0.973,0.973,0.973
558,Jordan,Onshore wind energy,On-grid,3.0,3.0,3.0,3.0,3.0,2.6,2.4,123.1,398.7,456.6,719.8,892.4
559,Jordan,Renewable hydropower,On-grid,62.0,59.0,61.0,55.0,61.0,54.6,58.2,52.5,41.6,38.0,22.7,18.4
560,Kazakhstan,Fossil fuels,On-grid,72867.0,71831.0,74624.0,78703.0,85177.0,95349.0,86936.0,82199.0,82657.0,91485.0,96336.22,95162.859
561,Kazakhstan,Off-grid Solar photovoltaic,Off-grid,1.54,1.81,3.54,4.9,8.24,20.88,96.208,72.184,47.971,66.545,241.592,439.606
562,Kazakhstan,Renewable hydropower,On-grid,7400.0,6800.0,8022.023,7900.0,7600.0,7731.0,8262.831,9269.191,11620.764,11210.192,10395.354,9993.659
563,Kenya,Biogas,Off-grid,,,0.011,0.022,0.022,0.022,0.482,0.482,0.482,0.482,0.482,0.482
564,Kenya,Fossil fuels,Off-grid,32.0,33.0,38.93,44.7,48.7,53.01,57.77,67.99,112.67,87.7,104.5,117.7
565,Kenya,Fossil fuels,On-grid,2061.0,2683.885,2603.785,2374.42,2274.615,2352.665,2252.425,1569.48,1756.19,2192.875,2308.91,2265.715
566,Kenya,Geothermal energy,On-grid,1144.0,1287.275,1377.475,1478.81,1578.9,1906.045,3206.085,4481.1,4688.925,4870.655,5168.935,5383.855
567,Kenya,Off-grid Solar photovoltaic,Off-grid,0.251,0.283,0.3,1.408,4.42,10.323,23.929,45.4,47.173,58.107,75.572,75.572
568,Kenya,On-grid Solar photovoltaic,On-grid,,,,0.765,0.765,0.765,1.683,1.683,1.683,1.683,1.683,3.213
569,Kenya,Onshore wind energy,Off-grid,,,,0.05,0.4,0.55,0.202,0.396,0.665,0.332,0.092,0.195
570,Kenya,Onshore wind energy,On-grid,0.25,8.305,17.005,16.45,14.56,15.755,27.36,47.24,60.51,55.895,49.12,25.06
571,Kenya,Renewable hydropower,On-grid,3184.4,2511.11,2795.66,3446.115,3906.61,4153.795,3639.365,3559.965,3573.6,3274.675,3459.745,3685.13
572,Kenya,Solid biofuels,On-grid,111.24,116.214,213.192,193.147,216.479,204.474,185.199,202.304,193.925,147.13,162.873,158.873
573,Kiribati,Fossil fuels,On-grid,22.5,22.2,21.6,21.8,22.6,23.2,19.7,21.957,23.834,26.452,27.996,30.819
574,Kiribati,Off-grid Solar photovoltaic,Off-grid,0.458,0.45,0.662,0.72,0.788,0.848,1.256,2.347,2.361,2.361,2.361,2.361
575,Kosovo*,Fossil fuels,On-grid,5086.0,4856.0,5011.0,5696.0,5847.0,6382.0,5285.0,5979.0,5736.0,5738.127,5610.775,6036.575
576,Kosovo*,Renewable hydropower,On-grid,76.0,120.0,156.0,104.625,95.579,143.303,150.989,139.932,245.262,179.068,272.652,212.92
577,Kuwait,Fossil fuels,On-grid,51749.0,53216.0,57082.0,57489.0,61119.0,60982.0,65140.0,68288.0,70085.0,72788.0,74103.0,75071.0
578,Kuwait,On-grid Solar photovoltaic,On-grid,,,,0.011,0.011,0.182,3.278,5.09,48.814,51.254,53.214,54.896
579,Kyrgyzstan,Fossil fuels,On-grid,1665.0,866.0,992.0,1019.0,989.0,907.0,1254.0,1923.9,1620.6,1251.0,1409.7,1255.8
580,Kyrgyzstan,Renewable hydropower,On-grid,10759.1,10098.0,11254.6,14309.1,14179.0,13096.7,13297.6,11092.7,11497.8,14203.5,14318.3,13859.2
581,Lao People's Democratic Republic,Off-grid Solar photovoltaic,Off-grid,0.004,0.011,0.012,0.014,0.014,0.644,1.236,1.718,2.229,2.229,2.229,2.229
582,Lao People's Democratic Republic,On-grid Solar photovoltaic,On-grid,,,0.008,0.008,0.008,0.008,2.748,2.748,2.748,2.748,17.167,24.858
583,Lao People's Democratic Republic,Renewable hydropower,Off-grid,10.9,3.7,6.6,10.2,8.6,10.5,9.7,7.4,7.3,7.8,8.1,6.2
584,Lao People's Democratic Republic,Renewable hydropower,On-grid,3717.7,3385.2,8450.7,12981.7,12760.3,15506.505,15739.302,15992.947,17594.017,19481.633,21161.625,18893.283
585,Latvia,Biogas,On-grid,39.0,45.0,57.0,105.0,223.0,287.0,350.0,391.0,396.0,405.362,374.06,352.398
586,Latvia,Fossil fuels,On-grid,2062.0,2013.0,2992.0,3017.0,2058.0,2675.0,2337.0,2757.0,2944.0,2069.489,3226.28,3246.275
587,Latvia,Onshore wind energy,On-grid,59.1,50.089,49.057,70.894,114.266,120.055,139.712,147.135,127.889,150.0,122.038,153.999
588,Latvia,Renewable hydropower,On-grid,3109.038,3457.102,3520.506,2886.968,3706.957,2912.008,1993.639,1860.355,2529.521,4380.62,2431.569,2107.554
589,Latvia,Solid biofuels,On-grid,5.0,4.0,9.0,13.0,64.0,215.0,319.0,378.0,427.0,525.278,569.565,575.022
590,Lebanon,Fossil fuels,On-grid,10253.509,10188.435,10378.376,10751.433,9464.47,9218.153,9714.611,9083.359,9581.539,11010.384,11597.515,11017.567
591,Lebanon,Off-grid Solar photovoltaic,Off-grid,0.002,0.002,0.002,0.002,0.006,0.096,0.616,0.627,0.801,0.801,0.801,0.801
592,Lebanon,On-grid Solar photovoltaic,On-grid,,,0.523,0.745,1.25,2.856,6.438,16.334,35.665,54.79,82.998,110.911
593,Lebanon,Renewable hydropower,On-grid,373.433,614.112,839.252,805.245,1177.462,1034.514,193.388,479.249,382.145,414.676,347.649,829.276
594,Lesotho,Renewable hydropower,Off-grid,1.245,1.25,1.239,1.211,1.169,1.241,1.253,1.282,1.223,0.4,0.4,0.4
595,Lesotho,Renewable hydropower,On-grid,502.138,504.047,499.341,467.25,493.0,472.625,502.675,515.5,519.4,515.475,517.15,501.95
596,Liberia,Fossil fuels,On-grid,78.0,78.0,87.4,91.0,91.0,92.6,92.6,92.6,98.0,98.0,98.0,98.0
597,Liberia,Off-grid Solar photovoltaic,Off-grid,,,0.007,0.007,0.056,0.056,0.056,0.081,0.083,3.376,3.624,3.624
598,Liberia,Renewable hydropower,Off-grid,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
599,Libya,Fossil fuels,On-grid,28670.0,30378.0,32564.0,26005.0,34282.0,37921.0,37731.0,37511.0,29177.0,33282.0,34171.0,34171.0
600,Libya,Off-grid Solar photovoltaic,Off-grid,4.293,5.088,5.883,6.678,7.791,7.791,7.791,7.791,7.791,7.791,7.791,7.791
601,Lithuania,Biogas,On-grid,9.0,15.0,31.0,36.0,42.0,59.0,78.0,86.0,123.0,127.241,139.9,154.4
602,Lithuania,Fossil fuels,On-grid,2593.0,2836.0,3833.0,2877.0,3119.0,2425.0,1911.0,2254.0,1207.0,736.671,461.7,591.5
603,Lithuania,On-grid Solar photovoltaic,On-grid,0.091,0.091,0.091,0.273,2.0,45.0,73.0,73.0,66.0,64.617,76.039,79.99
604,Lithuania,Onshore wind energy,On-grid,131.0,158.0,224.0,475.0,540.0,603.0,639.0,810.0,1136.0,1363.8,1144.0,1499.4
605,Lithuania,Other non-renewable energy,On-grid,238.0,271.0,250.0,257.0,227.0,263.0,286.0,326.0,374.0,333.681,316.2,308.7
606,Lithuania,Pumped storage,On-grid,586.0,715.0,755.0,576.0,514.0,548.0,689.0,675.0,590.0,579.0,528.6,602.3
607,Lithuania,Renewable hydropower,On-grid,402.0,424.0,540.0,480.0,423.0,521.0,399.0,349.0,454.0,602.4,431.0,345.4
608,Lithuania,Solid biofuels,On-grid,60.0,87.0,116.0,121.0,176.0,279.0,293.0,318.0,269.0,303.241,355.1,330.7
609,Luxembourg,Biogas,On-grid,43.827,53.328,55.957,55.306,57.797,56.465,60.51,61.599,72.697,72.509,75.463,71.21
610,Luxembourg,Fossil fuels,On-grid,2402.198,2842.717,2916.54,2341.022,2388.207,1421.114,1451.304,837.784,258.179,221.212,195.495,191.618
611,Luxembourg,On-grid Solar photovoltaic,On-grid,20.031,20.316,21.148,25.744,38.277,73.738,94.741,103.721,100.288,108.463,119.725,130.385
612,Luxembourg,Onshore wind energy,On-grid,60.589,63.472,55.083,64.05,77.466,83.027,79.876,101.848,101.486,234.823,254.575,281.283
613,Luxembourg,Other non-renewable energy,On-grid,39.585,40.982,46.376,61.992,59.591,58.896,55.468,66.14,69.459,77.223,76.958,77.715
614,Luxembourg,Pumped storage,On-grid,832.926,726.868,1360.328,1067.506,1061.119,1038.947,1060.579,1431.37,1412.739,1336.318,1243.985,842.376
615,Luxembourg,Renewable hydropower,On-grid,132.114,105.839,107.661,63.0,98.302,119.195,107.788,99.253,115.411,85.649,92.778,106.915
616,Luxembourg,Renewable municipal waste,On-grid,25.821,24.856,28.183,37.673,36.214,35.792,33.709,40.195,42.211,46.93,46.769,47.228
617,Madagascar,Fossil fuels,On-grid,404.087,362.656,478.835,577.302,600.0,614.397,603.94,607.416,764.91,917.863,828.456,973.519
618,Madagascar,Off-grid Solar photovoltaic,Off-grid,1.388,1.909,2.602,3.47,4.511,8.675,12.145,15.615,19.085,22.555,22.555,22.555
619,Madagascar,Onshore wind energy,Off-grid,0.039,0.25,0.452,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465
620,Madagascar,Renewable hydropower,Off-grid,5.157,20.146,19.345,14.957,15.662,18.843,25.893,29.975,28.951,25.594,31.622,28.765
621,Madagascar,Renewable hydropower,On-grid,694.495,720.243,691.615,675.38,694.338,707.672,781.631,904.834,857.592,758.157,968.331,886.277
622,Madagascar,Solid biofuels,Off-grid,,0.089,0.247,0.247,0.431,0.615,0.615,0.615,0.615,0.615,0.615,0.615
623,Malawi,Fossil fuels,On-grid,6.197,6.761,7.065,12.463,12.39,12.309,10.637,5.01,4.975,56.514,428.655,428.655
624,Malawi,Off-grid Solar photovoltaic,Off-grid,0.539,1.013,1.493,3.61,5.515,9.39,14.058,23.155,23.155,37.719,45.001,45.001
625,Malawi,Renewable hydropower,Off-grid,7.55,8.236,8.607,9.183,9.129,9.07,7.838,7.793,9.398,8.814,6.342,7.461
626,Malawi,Renewable hydropower,On-grid,1610.783,1757.269,1836.385,1875.382,1864.326,1852.189,1958.862,1947.808,1934.328,1814.161,1350.132,1350.133
627,Malawi,Solid biofuels,On-grid,48.958,46.287,44.507,44.507,49.848,51.628,51.127,51.448,51.75,52.768,53.849,53.849
628,Malaysia,Biogas,On-grid,1.245,2.491,3.269,4.951,7.56,22.77,51.27,63.34,107.11,215.81,224.43,314.29
629,Malaysia,Fossil fuels,Off-grid,824.5,863.0,829.5,4701.5,3311.5,1656.0,566.0,736.0,571.0,847.5,847.5,474.5
630,Malaysia,Fossil fuels,On-grid,99632.5,101877.0,111572.5,112735.5,119918.5,126493.0,128725.0,128765.0,136688.0,131844.5,139860.5,146602.5
631,Malaysia,Off-grid Solar photovoltaic,Off-grid,,,0.005,0.005,0.005,0.005,1.879,2.97,2.974,2.986,9.157,9.157
632,Malaysia,On-grid Solar photovoltaic,On-grid,0.664,0.664,0.664,0.664,7.5,54.1,192.82,274.47,350.7,417.05,430.51,480.871
633,Malaysia,Renewable hydropower,Off-grid,0.105,0.105,0.193,0.193,0.193,0.193,0.788,0.788,0.788,0.815,0.815,0.867
634,Malaysia,Renewable hydropower,On-grid,7807.0,6890.0,6361.0,8056.0,9251.0,11799.0,13540.0,15524.0,20357.0,26716.0,27125.0,25906.0
635,Malaysia,Renewable municipal waste,On-grid,,,4.587,4.587,16.885,11.144,4.348,18.09,15.7,18.671,8.118,8.931
636,Malaysia,Solid biofuels,Off-grid,823.045,980.83,1259.617,539.235,1476.4,1020.58,550.75,611.46,349.71,435.93,842.28,1982.623
637,Malaysia,Solid biofuels,On-grid,90.884,90.884,87.655,87.655,87.655,209.406,195.812,228.64,232.78,228.539,189.662,216.285
638,Maldives,Fossil fuels,Off-grid,384.359,385.38,339.006,346.943,358.677,331.209,299.795,281.135,239.788,240.637,247.811,242.379
639,Maldives,Fossil fuels,On-grid,208.771,224.726,235.706,252.489,268.997,280.677,302.33,350.53,376.773,400.868,437.267,479.031
640,Maldives,Off-grid Solar photovoltaic,Off-grid,0.134,0.344,0.376,0.404,2.114,2.757,6.188,6.213,10.246,14.296,14.296,19.728
641,Maldives,Onshore wind energy,Off-grid,2.465,2.465,2.465,2.465,2.465,2.465,2.465,2.465,2.465,2.465,2.465,2.465
642,Mali,Fossil fuels,Off-grid,,115.617,135.649,132.565,114.952,91.919,121.902,136.806,153.318,186.099,186.099,186.099
