,Country,Elect_tech,Grid_status,2008 Gen Est,2009 Gen Est,2010 Gen Est,2011 Gen Est,2012 Gen Est,2013 Gen Est,2014 Gen Est,2015 Gen Est,2016 Gen Est,2017 Gen Est,2018 Gen Est,2019 Gen Est
317,El Salvador,Biogas,On-grid,,,,19.523,23.106,32.839,32.984,41.861,33.497,37.313,30.608,32.112
318,El Salvador,Fossil fuels,On-grid,2402.738,2759.278,2370.743,2254.686,2480.268,2481.18,2508.328,2525.771,2504.55,1399.337,1199.974,1755.946
319,El Salvador,Geothermal energy,On-grid,1519.136,1523.943,1525.128,1534.383,1535.383,1559.615,1557.641,1539.686,1575.517,1568.477,1545.277,1474.001
320,El Salvador,Off-grid Solar photovoltaic,Off-grid,0.073,0.073,0.073,0.073,0.073,10.271,20.468,20.468,20.468,20.364,22.27,15.429
321,El Salvador,Renewable hydropower,On-grid,2038.438,1505.01,2083.645,2011.151,1846.562,1789.546,1788.648,1430.936,1342.628,1705.032,1631.34,1526.306
322,El Salvador,Solid biofuels,On-grid,174.258,231.984,282.734,283.294,385.417,397.196,404.705,520.736,601.061,674.129,709.513,796.859
323,Equatorial Guinea,Fossil fuels,On-grid,298.0,298.0,298.0,298.0,760.0,760.0,760.0,760.0,842.088,924.176,937.075,937.075
324,Equatorial Guinea,Renewable hydropower,On-grid,7.0,7.0,7.0,7.0,67.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0
325,Eritrea,Fossil fuels,On-grid,285.0,293.0,309.0,335.0,357.0,361.0,386.0,404.0,419.0,419.0,419.0,419.0
326,Eritrea,Off-grid Solar photovoltaic,Off-grid,0.003,0.003,0.008,0.009,0.043,0.066,15.034,15.034,15.704,19.53,33.877,38.181
327,Eritrea,Onshore wind energy,Off-grid,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
328,Estonia,Biogas,On-grid,9.0,7.0,10.0,15.0,16.0,20.0,27.0,50.0,45.0,41.754,38.0,38.842
329,Estonia,Fossil fuels,On-grid,10384.0,8238.0,11920.0,11714.0,10490.0,11995.0,10984.0,8518.83,10517.675,11218.309,10278.53,5408.991
330,Estonia,On-grid Solar photovoltaic,On-grid,,0.092,0.092,0.183,0.348,1.372,3.056,5.948,9.677,14.492,30.802,73.5
331,Estonia,Onshore wind energy,On-grid,133.453,195.553,276.992,368.659,433.517,529.039,603.68,715.0,594.0,723.0,636.0,687.0
332,Estonia,Renewable hydropower,On-grid,27.908,31.988,26.881,30.028,42.058,25.532,27.034,26.6,35.0,26.0,15.0,19.0
333,Estonia,Solid biofuels,On-grid,27.0,307.0,730.0,766.0,985.0,645.0,731.0,710.0,840.0,995.947,1223.0,1260.113
334,Eswatini,Fossil fuels,Off-grid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
335,Eswatini,Off-grid Solar photovoltaic,Off-grid,0.359,0.402,0.901,1.073,1.111,1.136,1.174,1.174,1.174,1.174,1.174,1.174
336,Eswatini,Renewable hydropower,Off-grid,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
337,Eswatini,Renewable hydropower,On-grid,162.75,223.3,276.275,321.7,287.55,247.925,286.675,248.825,150.225,120.0,185.575,221.45
338,Eswatini,Solid biofuels,On-grid,187.077,169.528,134.295,132.21,167.122,171.134,170.006,175.527,183.283,182.614,184.995,185.144
339,Ethiopia,Fossil fuels,On-grid,467.0,444.0,31.0,37.0,12.0,8.0,3.0,3.31,1.02,0.769,,
340,Ethiopia,Off-grid Solar photovoltaic,Off-grid,0.002,0.424,0.425,0.849,2.167,5.789,15.603,18.039,20.835,22.383,19.754,19.754
341,Ethiopia,Onshore wind energy,On-grid,,,,29.4,192.0,356.0,526.3,499.0,786.0,782.0,532.513,848.06
342,Ethiopia,Renewable hydropower,On-grid,3296.1,3524.0,4931.1,6262.0,7387.9,8338.0,6817.2,9013.0,9674.0,11753.0,12680.954,13655.0
343,Ethiopia,Solid biofuels,On-grid,9.141,12.316,17.853,16.845,10.242,28.022,31.139,27.54,28.154,22.72,25.882,29.983
344,Falkland Islands (Malvinas),Fossil fuels,On-grid,10.9,10.942,11.595,10.589,10.901,10.925,11.085,11.704,12.703,12.342,11.756,12.29
345,Falkland Islands (Malvinas),Onshore wind energy,Off-grid,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
346,Falkland Islands (Malvinas),Onshore wind energy,On-grid,3.85,3.85,3.952,4.879,5.437,5.126,5.087,5.122,6.022,5.168,5.421,5.317
347,Faroe Islands,Fossil fuels,On-grid,167.0,168.1,199.3,166.8,181.0,180.1,150.2,125.5,158.9,163.4,180.1,230.0
348,Faroe Islands,Onshore wind energy,On-grid,13.0,15.0,13.6,14.5,10.8,21.8,34.5,55.8,52.1,59.7,63.8,52.6
349,Faroe Islands,Renewable hydropower,On-grid,95.8,92.4,67.4,92.5,99.8,90.6,120.7,133.1,106.3,111.2,108.1,103.5
350,Fiji,Fossil fuels,Off-grid,51.122,51.122,51.122,51.122,51.122,51.122,51.122,51.122,51.122,51.122,51.122,109.069
351,Fiji,Fossil fuels,On-grid,269.745,309.924,415.13,339.76,271.283,324.755,454.039,480.422,424.507,490.958,423.741,449.622
352,Fiji,Liquid biofuels,Off-grid,,,0.016,0.032,0.047,0.063,0.063,0.063,0.063,0.063,0.063,0.063
353,Fiji,Off-grid Solar photovoltaic,Off-grid,0.231,0.261,0.364,0.364,0.733,1.323,1.581,2.505,5.145,5.234,5.764,5.831
354,Fiji,Onshore wind energy,On-grid,4.604,7.211,6.42,4.977,6.809,5.348,4.269,5.674,3.632,2.083,2.558,3.419
